time,ball_loc_x,ball_loc_y,ball_loc_z,ball_rot_x,ball_rot_y,ball_rot_z,ball_rot_w,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_x,ball_ang_y,ball_ang_z,player0_throttle,player0_steer,player0_pitch,player0_yaw,player0_roll,player0_jump,player0_boost,player0_handbrake,player0_loc_x,player0_loc_y,player0_loc_z,player0_rot_x,player0_rot_y,player0_rot_z,player0_rot_w,player0_vel_x,player0_vel_y,player0_vel_z,player0_ang_x,player0_ang_y,player0_ang_z
29.466667,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,1,0,false,false,false,0,0,1000,0.000002697398,0.000002697398,0.9386498,-0.34487173,0,0,0,0,0,5.50001
29.475,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,0.000002697398,0.000002697398,0.9306156,-0.36599785,0,0,0,0,0,5.42401
29.483334,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,0.000002697398,0.000002697398,0.92222905,-0.38664383,0,0,0,0,0,5.3481097
29.491667,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,0.000002697398,0.000002697398,0.9135129,-0.40680966,0,0,0,0,0,5.2722096
29.5,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,0.0000026973983,0.0000026973983,0.90449226,-0.42648995,0,0,0,0,0,5.19631
29.508333,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,0.000002697398,0.000002697398,0.89518726,-0.44569007,0,0,0,0,0,5.12041
29.516666,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,0.000002697398,0.000002697398,0.88562304,-0.4644047,0,0,0,0,0,5.04451
29.525,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,0.000002697398,0.000002697398,0.8758192,-0.4826392,0,0,0,0,0,4.96861
29.533333,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,0.000002697398,0.000002697398,0.865798,-0.5003935,0,0,0,0,0,4.8927097
29.541666,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,0.0000026973983,0.0000026973983,0.8555817,-0.5176678,0,0,0,0,0,4.8168097
29.55,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,0.000002697398,0.000002697398,0.84518915,-0.53446716,0,0,0,0,0,4.74091
29.558332,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,0.0000026973978,0.0000026973978,0.8346424,-0.55079186,0,0,0,0,0,4.66501
29.566668,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,0.000002697398,0.000002697398,0.8239604,-0.56664723,0,0,0,0,0,4.58911
29.575,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,0.000002697398,0.000002697398,0.813161,-0.5820387,0,0,0,0,0,4.51321
29.583334,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,0.000002697398,0.000002697398,0.8022623,-0.5969715,0,0,0,0,0,4.4373097
29.591667,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,0.000002697398,0.000002697398,0.79128206,-0.6114512,0,0,0,0,0,4.36141
29.6,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,0.000002697398,0.000002697398,0.78023756,-0.62548316,0,0,0,0,0,4.28551
29.608334,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,0.000002697398,0.000002697398,0.76914626,-0.63907266,0,0,0,0,0,4.20961
29.616667,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,0.000002697398,0.000002697398,0.7580251,-0.65222526,0,0,0,0,0,4.13371
29.625,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,0.000002697398,0.000002697398,0.74689114,-0.6649462,0,0,0,0,0,4.05781
29.633333,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,0.0000026973983,0.0000026973983,0.7357562,-0.67724645,0,0,0,0,0,3.98191
29.641666,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,0.000002697398,0.000002697398,0.72463655,-0.68913114,0,0,0,0,0,3.90601
29.65,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,0.0000026973983,0.0000026973983,0.7135483,-0.700606,0,0,0,0,0,3.8301098
29.658333,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,-0.000002697398,-0.000002697398,-0.70249957,0.71168405,0,0,0,0,0,3.75421
29.666666,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,-0.000002697398,-0.000002697398,-0.6915103,0.72236645,0,0,0,0,0,3.67831
29.675,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,-0.000002697398,-0.000002697398,-0.6805912,0.7326632,0,0,0,0,0,3.6024098
29.683332,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,-0.000002697398,-0.000002697398,-0.669753,0.7425838,0,0,0,0,0,3.52651
29.691668,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,-0.000002697398,-0.000002697398,-0.65900654,0.7521371,0,0,0,0,0,3.45061
29.7,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,-0.000002697398,-0.000002697398,-0.64836794,0.761327,0,0,0,0,0,3.3747098
29.708334,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,-0.0000026973978,-0.0000026973978,-0.6378426,0.7701666,0,0,0,0,0,3.29881
29.716667,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,-1,0,false,false,false,0,0,1000,-0.000002697398,-0.000002697398,-0.62744147,0.77866364,0,0,0,0,0,3.22291
